Gene stable ID	Transcript stable ID	Gene name	Mouse gene stable ID	Mouse gene name
ENSRNOG00000050876	ENSRNOT00000046167	Olr542	ENSMUSG00000075159	Olfr1110
ENSRNOG00000050876	ENSRNOT00000046167	Olr542	ENSMUSG00000075160	Olfr259
ENSRNOG00000012718	ENSRNOT00000017022	Zfp451	ENSMUSG00000042197	Zfp451
ENSRNOG00000047085	ENSRNOT00000075420	Lrrtm2	ENSMUSG00000071862	Lrrtm2
ENSRNOG00000028248	ENSRNOT00000033486	Lca5l	ENSMUSG00000045275	Lca5l
ENSRNOG00000057153	ENSRNOT00000077727	Pla1a	ENSMUSG00000002847	Pla1a
ENSRNOG00000001647	ENSRNOT00000002247	Ets2	ENSMUSG00000022895	Ets2
ENSRNOG00000017265	ENSRNOT00000023550	Tmem131	ENSMUSG00000026116	Tmem131
ENSRNOG00000009675	ENSRNOT00000039059	Cdc42bpb	ENSMUSG00000021279	Cdc42bpb
ENSRNOG00000009675	ENSRNOT00000080623	Cdc42bpb	ENSMUSG00000021279	Cdc42bpb
ENSRNOG00000015850	ENSRNOT00000021348	Rbp7	ENSMUSG00000028996	Rbp7
ENSRNOG00000028865	ENSRNOT00000042142	Kprp	ENSMUSG00000059832	Kprp
ENSRNOG00000010008	ENSRNOT00000013501	Polr3a	ENSMUSG00000025280	Polr3a
ENSRNOG00000034107	ENSRNOT00000041750	LOC681282	ENSMUSG00000063236	1110038F14Rik
ENSRNOG00000024780	ENSRNOT00000037371	MGC95210	ENSMUSG00000041623	D11Wsu47e
ENSRNOG00000059745	ENSRNOT00000087097	SNORA66	ENSMUSG00000088585	Gm22963
ENSRNOG00000013963	ENSRNOT00000018877	Il6st	ENSMUSG00000021756	Il6st
ENSRNOG00000010807	ENSRNOT00000014407	Cox6c	ENSMUSG00000014313	Cox6c
ENSRNOG00000016631	ENSRNOT00000022324	Zfp276	ENSMUSG00000001065	Zfp276
ENSRNOG00000008519	ENSRNOT00000011263	RGD1309079	ENSMUSG00000045414	1190002N15Rik
ENSRNOG00000008519	ENSRNOT00000086491	RGD1309079	ENSMUSG00000045414	1190002N15Rik
ENSRNOG00000024331	ENSRNOT00000033621	Upk1a	ENSMUSG00000006313	Upk1a
ENSRNOG00000047768	ENSRNOT00000072098	Lamb2	ENSMUSG00000052911	Lamb2
ENSRNOG00000047768	ENSRNOT00000083578	Lamb2	ENSMUSG00000052911	Lamb2
ENSRNOG00000015415	ENSRNOT00000020822	Rhoq	ENSMUSG00000024143	Rhoq
ENSRNOG00000037217	ENSRNOT00000089831	Nudt17	ENSMUSG00000028100	Nudt17
ENSRNOG00000037217	ENSRNOT00000031484	Nudt17	ENSMUSG00000028100	Nudt17
ENSRNOG00000027232	ENSRNOT00000026969	Pcdhga11	ENSMUSG00000102742	Pcdhga11
ENSRNOG00000010804	ENSRNOT00000014337	Olr1108	ENSMUSG00000032987	Olfr281
ENSRNOG00000024801	ENSRNOT00000063952	Slc35a2	ENSMUSG00000031156	Slc35a2
ENSRNOG00000011492	ENSRNOT00000034446	LOC108348302	ENSMUSG00000043090	Zfp866
ENSRNOG00000026527	ENSRNOT00000036745	Snx32	ENSMUSG00000056185	Snx32
ENSRNOG00000030736	ENSRNOT00000051917	Hist2h2ac	ENSMUSG00000068855	Hist2h2ac
ENSRNOG00000028518	ENSRNOT00000006482	Msgn1	ENSMUSG00000047002	Msgn1
ENSRNOG00000015105	ENSRNOT00000020366	Bspry	ENSMUSG00000028392	Bspry
ENSRNOG00000019212	ENSRNOT00000026280	Tpp1	ENSMUSG00000030894	Tpp1
ENSRNOG00000031555	ENSRNOT00000049256	LOC685747	ENSMUSG00000059663	4930524N10Rik
ENSRNOG00000031555	ENSRNOT00000049256	LOC685747	ENSMUSG00000072888	Samt2
ENSRNOG00000020939	ENSRNOT00000063879	Ms4a8	ENSMUSG00000024730	Ms4a8a
ENSRNOG00000001430	ENSRNOT00000001941	Polr2j	ENSMUSG00000039771	Polr2j
ENSRNOG00000002208	ENSRNOT00000003001	Shroom3	ENSMUSG00000029381	Shroom3
ENSRNOG00000000693	ENSRNOT00000000874	Svop	ENSMUSG00000042078	Svop
ENSRNOG00000000693	ENSRNOT00000084511	Svop	ENSMUSG00000042078	Svop
ENSRNOG00000060066	ENSRNOT00000080322	Hoxa6	ENSMUSG00000043219	Hoxa6
ENSRNOG00000054513	ENSRNOT00000077428	Zmiz2	ENSMUSG00000041164	Zmiz2
ENSRNOG00000048836	ENSRNOT00000071016	AABR07003935.7	ENSMUSG00000094304	Gm24923
ENSRNOG00000020182	ENSRNOT00000027360	Mvp	ENSMUSG00000030681	Mvp
ENSRNOG00000058078	ENSRNOT00000090487	SNORA70	ENSMUSG00000089045	Gm26169
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000063163	Speer2
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000095296	Gm8906
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000096732	Gm8897
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000095918	Gm5861
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000091933	Gm8857
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000095829	Speer1
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000094105	Gm8922
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000067848	4933402N22Rik
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000094036	Gm6465
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000069355	Gm5152
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000091903	Gm6460
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000096846	Gm8890
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000094205	Gm8926
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000094025	Gm8879
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000067855	Speer3
ENSRNOG00000049674	ENSRNOT00000047230	LOC501421	ENSMUSG00000095710	Gm8871
ENSRNOG00000011762	ENSRNOT00000068269	Elf1	ENSMUSG00000036461	Elf1
ENSRNOG00000011762	ENSRNOT00000084005	Elf1	ENSMUSG00000036461	Elf1
ENSRNOG00000011762	ENSRNOT00000079417	Elf1	ENSMUSG00000036461	Elf1
ENSRNOG00000028130	ENSRNOT00000037194	Tas2r144	ENSMUSG00000051917	Tas2r144
ENSRNOG00000045816	ENSRNOT00000081136	Gria1	ENSMUSG00000020524	Gria1
ENSRNOG00000045816	ENSRNOT00000073148	Gria1	ENSMUSG00000020524	Gria1
ENSRNOG00000045816	ENSRNOT00000071615	Gria1	ENSMUSG00000020524	Gria1
ENSRNOG00000021657	ENSRNOT00000033483	Pld6	ENSMUSG00000043648	Pld6
ENSRNOG00000039543	ENSRNOT00000060614	Rnase11	ENSMUSG00000059648	Rnase11
ENSRNOG00000057043	ENSRNOT00000083800	Olr1549	ENSMUSG00000064006	Olfr190
ENSRNOG00000024707	ENSRNOT00000055398	Tp73	ENSMUSG00000029026	Trp73
ENSRNOG00000011634	ENSRNOT00000015540	Xkr6	ENSMUSG00000035067	Xkr6
ENSRNOG00000011222	ENSRNOT00000014910	Dynll1	ENSMUSG00000009013	Dynll1
ENSRNOG00000028919	ENSRNOT00000015635	Zfp868	ENSMUSG00000060427	Zfp868
ENSRNOG00000050105	ENSRNOT00000027214	LOC103689942	ENSMUSG00000074272	Ceacam1
ENSRNOG00000050105	ENSRNOT00000027214	LOC103689942	ENSMUSG00000054385	Ceacam2
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000093958	Gm24495
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095357	Gm23286
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000093994	Gm26498
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095628	Gm24585
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096324	Gm26336
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094550	Gm22393
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094610	Gm23076
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000075726	Gm23254
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095402	Gm25585
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094034	Gm24653
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096328	Gm26337
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094636	Gm24219
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094283	Gm26434
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096447	Gm24206
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094631	Gm24220
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094567	Gm25230
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094765	Gm25523
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096048	Gm22510
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094883	Gm25121
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094912	Gm26392
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094364	Gm26059
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095885	Gm26432
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095310	Gm25463
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094476	Gm25934
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094888	Gm25120
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096605	Gm26200
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094038	Gm24657
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094032	Gm24654
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095372	Gm22111
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095587	Gm22629
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096291	Gm23933
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095220	Gm23560
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095491	Gm24088
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094438	Gm23618
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094903	Gm23575
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096090	Gm26334
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096811	Gm25088
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096185	Gm23305
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095739	Gm25314
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094723	Gm23356
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095714	Gm26467
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096281	Gm22255
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096430	Gm22130
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094458	Gm22627
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094548	Gm25221
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095009	Gm25175
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094604	Gm25874
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094037	Gm24652
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094129	Gm23944
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095342	Gm26096
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096648	Gm24027
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094753	Gm25017
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094667	Gm24872
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096046	Gm24969
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094522	Gm22912
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096387	Gm26488
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095091	Gm23660
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000093830	Gm23145
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094095	Gm25648
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096287	Gm22252
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095501	Gm22449
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096067	Gm23682
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096565	Gm24100
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095660	Gm22274
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096821	Gm24570
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000093943	Gm22834
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096359	Gm25710
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096136	Gm25146
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094508	Gm26230
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095911	Gm24528
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096041	Gm22511
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094587	Gm26366
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094919	Gm26389
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094099	Gm25823
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096392	Gm23688
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094554	Gm22391
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094465	Gm24306
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095511	Gm24137
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095713	Gm26466
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094148	Gm24952
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096496	Gm25646
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000093854	Gm24310
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095764	Gm25840
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094308	Gm24926
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094538	Gm25741
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094998	Gm22050
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094048	Gm26284
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000093981	Gm24862
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095182	Gm26374
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096683	Gm25988
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095428	Gm24418
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095945	Gm25194
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095924	Gm24040
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094513	Gm24566
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094917	Gm26390
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096390	Gm23687
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095997	Gm24702
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095828	Gm25449
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000093860	Gm22632
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094442	Gm25452
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000077645	Gm24983
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094213	Gm23449
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094922	Gm24759
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096454	Gm23310
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095425	Gm24417
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096028	Gm25984
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094049	Gm26283
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095314	Gm25462
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000093824	Gm24799
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096306	Gm25209
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094093	Gm25647
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095418	Gm23922
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096799	Gm22996
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094524	Gm22909
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000064377	Gm24966
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094068	Gm25156
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096161	Gm24639
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095031	Gm22348
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096812	Gm25087
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096595	Gm25742
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094059	Gm23471
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096814	Gm25085
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094565	Gm25229
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000075968	Gm25089
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095476	Gm25077
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094609	Gm25870
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096285	Gm22253
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000093997	Gm26499
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000096913	Gm24866
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094625	Gm22524
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000093870	Gm25461
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095021	Gm24021
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095671	Gm25098
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000094847	Gm22640
ENSRNOG00000060030	ENSRNOT00000086058	SNORD115	ENSMUSG00000095581	Gm22630
ENSRNOG00000027343	ENSRNOT00000023114	Ttc39d	ENSMUSG00000046196	Ttc39d
ENSRNOG00000057389	ENSRNOT00000084297	Dusp28	ENSMUSG00000047067	Dusp28
ENSRNOG00000032009	ENSRNOT00000065115	LOC499643	ENSMUSG00000091685	Gm17359
ENSRNOG00000032009	ENSRNOT00000084198	LOC499643	ENSMUSG00000091685	Gm17359
ENSRNOG00000052383	ENSRNOT00000082860	Rhox9	ENSMUSG00000068048	Rhox9
ENSRNOG00000052383	ENSRNOT00000082860	Rhox9	ENSMUSG00000006200	Rhox6
ENSRNOG00000026941	ENSRNOT00000036951	Tril	ENSMUSG00000043496	Tril
ENSRNOG00000010846	ENSRNOT00000015546	Ccdc22	ENSMUSG00000031143	Ccdc22
ENSRNOG00000046516	ENSRNOT00000071833	Olfr873	ENSMUSG00000049028	Olfr873
ENSRNOG00000026503	ENSRNOT00000031908	Xrra1	ENSMUSG00000035211	Xrra1
ENSRNOG00000026503	ENSRNOT00000087818	Xrra1	ENSMUSG00000035211	Xrra1
ENSRNOG00000006139	ENSRNOT00000008410	Stx18	ENSMUSG00000029125	Stx18
ENSRNOG00000039305	ENSRNOT00000060213	LOC102547118	ENSMUSG00000079374	Gm8334
ENSRNOG00000039305	ENSRNOT00000060213	LOC102547118	ENSMUSG00000073294	AU022751
ENSRNOG00000050553	ENSRNOT00000081433	Atp6v1c2	ENSMUSG00000020566	Atp6v1c2
ENSRNOG00000050553	ENSRNOT00000071977	Atp6v1c2	ENSMUSG00000020566	Atp6v1c2
ENSRNOG00000004505	ENSRNOT00000006168	Nfic	ENSMUSG00000055053	Nfic
ENSRNOG00000057429	ENSRNOT00000085406	5S_rRNA	ENSMUSG00000088564	Gm23782
ENSRNOG00000056144	ENSRNOT00000081156	Olr29	ENSMUSG00000062878	Olfr298
