Mouse.Ensembl.Gene.ID	Human.Ensembl.Gene.ID	Gencode19	Human_Symbol	Mouse_Symbol
ENSMUSG00000000276	ENSG00000153933	ENSG00000153933.5	DGKE	Dgke
ENSMUSG00000000278	ENSG00000121064	ENSG00000121064.8	SCPEP1	Scpep1
ENSMUSG00000000282	ENSG00000070444	ENSG00000070444.10	MNT	Mnt
ENSMUSG00000000290	ENSG00000160255	ENSG00000160255.12	ITGB2	Itgb2
ENSMUSG00000000295	ENSG00000111906	ENSG00000111906.13	HDDC2	Hddc2
ENSMUSG00000000296	ENSG00000111907	ENSG00000111907.16	TPD52L1	Tpd52l1
ENSMUSG00000000301	ENSG00000133027	ENSG00000133027.13	PEMT	Pemt
ENSMUSG00000000303	ENSG00000039068	ENSG00000039068.14	CDH1	Cdh1
ENSMUSG00000000305	ENSG00000179242	ENSG00000179242.11	CDH4	Cdh4
ENSMUSG00000000308	ENSG00000237289	ENSG00000237289.5	CKMT1B	Ckmt1
ENSMUSG00000000308	ENSG00000223572	ENSG00000223572.5	CKMT1A	Ckmt1
ENSMUSG00000000317	ENSG00000161940	ENSG00000161940.6	BCL6B	Bcl6b
ENSMUSG00000000318	ENSG00000132514	ENSG00000132514.9	CLEC10A	Clec10a
ENSMUSG00000000320	ENSG00000108839	ENSG00000108839.7	ALOX12	Alox12
ENSMUSG00000000325	ENSG00000099889	ENSG00000099889.9	ARVCF	Arvcf
ENSMUSG00000000326	ENSG00000093010	ENSG00000093010.7	COMT	Comt
ENSMUSG00000000339	ENSG00000137996	ENSG00000137996.8	RTCA	Rtca
ENSMUSG00000000340	ENSG00000137992	ENSG00000137992.10	DBT	Dbt
ENSMUSG00000000346	ENSG00000183283	ENSG00000183283.11	DAZAP2	Dazap2
ENSMUSG00000000355	ENSG00000232119	ENSG00000232119.3	MCTS1	Mcts1
ENSMUSG00000000359	ENSG00000088320	ENSG00000088320.3	REM1	Rem1
ENSMUSG00000000365	ENSG00000132972	ENSG00000132972.14	RNF17	Rnf17
ENSMUSG00000000374	ENSG00000160218	ENSG00000160218.8	TRAPPC10	Trappc10
ENSMUSG00000000378	ENSG00000136280	ENSG00000136280.11	CCM2	Ccm2
ENSMUSG00000000384	ENSG00000136270	ENSG00000136270.9	TBRG4	Tbrg4
ENSMUSG00000000385	ENSG00000184012	ENSG00000184012.7	TMPRSS2	Tmprss2
ENSMUSG00000000386	ENSG00000157601	ENSG00000157601.9	MX1	Mx1
ENSMUSG00000000392	ENSG00000078098	ENSG00000078098.9	FAP	Fap
ENSMUSG00000000394	ENSG00000115263	ENSG00000115263.10	GCG	Gcg
ENSMUSG00000000399	ENSG00000139180	ENSG00000139180.6	NDUFA9	Ndufa9
ENSMUSG00000000402	ENSG00000198759	ENSG00000198759.7	EGFL6	Egfl6
ENSMUSG00000000409	ENSG00000182866	ENSG00000182866.12	LCK	Lck
ENSMUSG00000000411	ENSG00000162526	ENSG00000162526.6	TSSK3	Tssk3
ENSMUSG00000000416	ENSG00000077063	ENSG00000077063.6	CTTNBP2	Cttnbp2
ENSMUSG00000000420	ENSG00000141429	ENSG00000141429.9	GALNT1	Galnt1
ENSMUSG00000000435	ENSG00000111049	ENSG00000111049.3	MYF5	Myf5
ENSMUSG00000000439	ENSG00000075975	ENSG00000075975.11	MKRN2	Mkrn2
ENSMUSG00000000440	ENSG00000132170	ENSG00000132170.15	PPARG	Pparg
ENSMUSG00000000441	ENSG00000132155	ENSG00000132155.7	RAF1	Raf1
ENSMUSG00000000486	ENSG00000180096	ENSG00000180096.7	SEPT1	Sept1
ENSMUSG00000000486	ENSG00000270466	ENSG00000270466.1	SEPT1	Sept1
ENSMUSG00000000489	ENSG00000100311	ENSG00000100311.12	PDGFB	Pdgfb
ENSMUSG00000000530	ENSG00000139567	ENSG00000139567.8	ACVRL1	Acvrl1
ENSMUSG00000000531	ENSG00000161835	ENSG00000161835.6	GRASP	Grasp
ENSMUSG00000000532	ENSG00000135503	ENSG00000135503.8	ACVR1B	Acvr1b
ENSMUSG00000000538	ENSG00000175662	ENSG00000175662.13	TOM1L2	Tom1l2
ENSMUSG00000000544	ENSG00000143167	ENSG00000143167.7	GPA33	Gpa33
ENSMUSG00000000552	ENSG00000161642	ENSG00000161642.13	ZNF385A	Zfp385a
ENSMUSG00000000555	ENSG00000161638	ENSG00000161638.6	ITGA5	Itga5
ENSMUSG00000000560	ENSG00000151834	ENSG00000151834.11	GABRA2	Gabra2
ENSMUSG00000000561	ENSG00000116455	ENSG00000116455.9	WDR77	Wdr77
ENSMUSG00000000563	ENSG00000116459	ENSG00000116459.6	ATP5F1	Atp5f1
ENSMUSG00000000567	ENSG00000125398	ENSG00000125398.5	SOX9	Sox9
ENSMUSG00000000568	ENSG00000138668	ENSG00000138668.14	HNRNPD	Hnrnpd
ENSMUSG00000000579	ENSG00000146425	ENSG00000146425.6	DYNLT1	Dynlt1c
ENSMUSG00000000581	ENSG00000197223	ENSG00000197223.7	C1D	C1d
ENSMUSG00000000594	ENSG00000196743	ENSG00000196743.4	GM2A	Gm2a
ENSMUSG00000000600	ENSG00000001631	ENSG00000001631.10	KRIT1	Krit1
ENSMUSG00000000605	ENSG00000073464	ENSG00000073464.7	CLCN4	Clcn4-2
ENSMUSG00000000617	ENSG00000113262	ENSG00000113262.10	GRM6	Grm6
ENSMUSG00000000627	ENSG00000135622	ENSG00000135622.8	SEMA4F	Sema4f
ENSMUSG00000000628	ENSG00000159399	ENSG00000159399.5	HK2	Hk2
ENSMUSG00000000631	ENSG00000196535	ENSG00000196535.10	MYO18A	Myo18a
ENSMUSG00000000632	ENSG00000063015	ENSG00000063015.15	SEZ6	Sez6
ENSMUSG00000000673	ENSG00000162882	ENSG00000162882.10	HAAO	Haao
ENSMUSG00000000686	ENSG00000168792	ENSG00000168792.4	ABHD15	Abhd15
ENSMUSG00000000690	ENSG00000108511	ENSG00000108511.8	HOXB6	Hoxb6
ENSMUSG00000000693	ENSG00000115318	ENSG00000115318.7	LOXL3	Loxl3
ENSMUSG00000000701	ENSG00000213231	ENSG00000213231.8	TCL1B	Tcl1b5
ENSMUSG00000000706	ENSG00000124557	ENSG00000124557.8	BTN1A1	Btn1a1
ENSMUSG00000000708	ENSG00000114166	ENSG00000114166.7	KAT2B	Kat2b
ENSMUSG00000000711	ENSG00000111540	ENSG00000111540.11	RAB5B	Rab5b
ENSMUSG00000000724	ENSG00000108255	ENSG00000108255.3	CRYBA1	Cryba1
ENSMUSG00000000730	ENSG00000142182	ENSG00000142182.4	DNMT3L	Dnmt3l
ENSMUSG00000000731	ENSG00000160224	ENSG00000160224.12	AIRE	Aire
ENSMUSG00000000732	ENSG00000160223	ENSG00000160223.12	ICOSLG	Icosl
ENSMUSG00000000738	ENSG00000197912	ENSG00000197912.9	SPG7	Spg7
ENSMUSG00000000740	ENSG00000167526	ENSG00000167526.9	RPL13	Rpl13
ENSMUSG00000000743	ENSG00000131165	ENSG00000131165.10	CHMP1A	Chmp1a
ENSMUSG00000000751	ENSG00000132383	ENSG00000132383.7	RPA1	Rpa1
ENSMUSG00000000753	ENSG00000132386	ENSG00000132386.6	SERPINF1	Serpinf1
ENSMUSG00000000759	ENSG00000126216	ENSG00000126216.8	TUBGCP3	Tubgcp3
ENSMUSG00000000766	ENSG00000112038	ENSG00000112038.13	OPRM1	Oprm1
ENSMUSG00000000776	ENSG00000168495	ENSG00000168495.8	POLR3D	Polr3d
ENSMUSG00000000782	ENSG00000081059	ENSG00000081059.15	TCF7	Tcf7
ENSMUSG00000000787	ENSG00000215301	ENSG00000215301.5	DDX3X	Ddx3x
ENSMUSG00000000791	ENSG00000096996	ENSG00000096996.11	IL12RB1	Il12rb1
ENSMUSG00000000792	ENSG00000105641	ENSG00000105641.3	SLC5A5	Slc5a5
ENSMUSG00000000794	ENSG00000143603	ENSG00000143603.14	KCNN3	Kcnn3
ENSMUSG00000000804	ENSG00000129204	ENSG00000129204.12	USP6	Usp32
ENSMUSG00000000804	ENSG00000170832	ENSG00000170832.8	USP32	Usp32
ENSMUSG00000000805	ENSG00000167434	ENSG00000167434.5	CA4	Car4
ENSMUSG00000000811	ENSG00000197763	ENSG00000197763.8	TXNRD3	Txnrd3
ENSMUSG00000000817	ENSG00000117560	ENSG00000117560.6	FASLG	Fasl
ENSMUSG00000000823	ENSG00000196700	ENSG00000196700.3	ZNF512B	Znf512b
ENSMUSG00000000826	ENSG00000101152	ENSG00000101152.6	DNAJC5	Dnajc5
ENSMUSG00000000827	ENSG00000101150	ENSG00000101150.13	TPD52L2	Tpd52l2
ENSMUSG00000000838	ENSG00000102081	ENSG00000102081.9	FMR1	Fmr1
ENSMUSG00000000861	ENSG00000119866	ENSG00000119866.16	BCL11A	Bcl11a
ENSMUSG00000000869	ENSG00000113520	ENSG00000113520.6	IL4	Il4
ENSMUSG00000000876	ENSG00000101417	ENSG00000101417.7	PXMP4	Pxmp4
ENSMUSG00000000881	ENSG00000082458	ENSG00000082458.7	DLG3	Dlg3
ENSMUSG00000000884	ENSG00000185838	ENSG00000185838.9	GNB1L	Gnb1l
ENSMUSG00000000889	ENSG00000123454	ENSG00000123454.6	DBH	Dbh
ENSMUSG00000000901	ENSG00000099953	ENSG00000099953.5	MMP11	Mmp11
ENSMUSG00000000902	ENSG00000099956	ENSG00000099956.13	SMARCB1	Smarcb1
ENSMUSG00000000903	ENSG00000128218	ENSG00000128218.7	VPREB3	Vpreb3
ENSMUSG00000000915	ENSG00000130787	ENSG00000130787.9	HIP1R	Hip1r
ENSMUSG00000000916	ENSG00000130305	ENSG00000130305.12	NSUN5	Nsun5
ENSMUSG00000000934	ENSG00000184428	ENSG00000184428.8	TOP1MT	Top1mt
ENSMUSG00000000938	ENSG00000253293	ENSG00000253293.3	HOXA10	Hoxa10
ENSMUSG00000000942	ENSG00000197576	ENSG00000197576.9	HOXA4	Hoxa4
ENSMUSG00000000948	ENSG00000128739	ENSG00000128739.16	SNRPN	Snrpn
ENSMUSG00000000957	ENSG00000157227	ENSG00000157227.8	MMP14	Mmp14
ENSMUSG00000000958	ENSG00000155465	ENSG00000155465.14	SLC7A7	Slc7a7
ENSMUSG00000000959	ENSG00000155463	ENSG00000155463.8	OXA1L	Oxa1l
ENSMUSG00000000976	ENSG00000068097	ENSG00000068097.10	HEATR6	Heatr6
ENSMUSG00000000982	ENSG00000256515	ENSG00000256515.3	CCL3L3	Ccl3
ENSMUSG00000000982	ENSG00000006074	ENSG00000006074.4	CCL18	Ccl3
ENSMUSG00000000982	ENSG00000006075	ENSG00000006075.11	CCL3	Ccl3
ENSMUSG00000000982	ENSG00000205021	ENSG00000205021.9	CCL3L1	Ccl3
ENSMUSG00000001016	ENSG00000143621	ENSG00000143621.12	ILF2	Ilf2
ENSMUSG00000001017	ENSG00000160679	ENSG00000160679.8	CHTOP	Chtop
ENSMUSG00000001018	ENSG00000143553	ENSG00000143553.6	SNAPIN	Snapin
ENSMUSG00000001020	ENSG00000196154	ENSG00000196154.7	S100A4	S100a4
ENSMUSG00000001021	ENSG00000188015	ENSG00000188015.5	S100A3	S100a3
ENSMUSG00000001023	ENSG00000196420	ENSG00000196420.3	S100A5	S100a5
ENSMUSG00000001025	ENSG00000197956	ENSG00000197956.5	S100A6	S100a6
ENSMUSG00000001027	ENSG00000007314	ENSG00000007314.7	SCN4A	Scn4a
ENSMUSG00000001029	ENSG00000108622	ENSG00000108622.6	ICAM2	Icam2
ENSMUSG00000001034	ENSG00000166484	ENSG00000166484.15	MAPK7	Mapk7
ENSMUSG00000001036	ENSG00000072134	ENSG00000072134.11	EPN2	Epn2
ENSMUSG00000001039	ENSG00000108641	ENSG00000108641.10	B9D1	B9d1
ENSMUSG00000001052	ENSG00000138802	ENSG00000138802.7	SEC24B	Sec24b
ENSMUSG00000001053	ENSG00000145911	ENSG00000145911.5	N4BP3	N4bp3
ENSMUSG00000001054	ENSG00000145916	ENSG00000145916.14	RMND5B	Rmnd5b
ENSMUSG00000001056	ENSG00000145912	ENSG00000145912.4	NHP2	Nhp2
ENSMUSG00000001062	ENSG00000075399	ENSG00000075399.8	VPS9D1	Vps9d1
ENSMUSG00000001065	ENSG00000158805	ENSG00000158805.7	ZNF276	Zfp276
ENSMUSG00000001076	ENSG00000186897	ENSG00000186897.3	C1QL4	C1ql4
ENSMUSG00000001082	ENSG00000109736	ENSG00000109736.10	MFSD10	Mfsd10
ENSMUSG00000001089	ENSG00000169641	ENSG00000169641.9	LUZP1	Luzp1
ENSMUSG00000001095	ENSG00000007216	ENSG00000007216.10	SLC13A2	Slc13a2
ENSMUSG00000001098	ENSG00000110906	ENSG00000110906.8	KCTD10	Kctd10
ENSMUSG00000001100	ENSG00000004142	ENSG00000004142.7	POLDIP2	Poldip2
ENSMUSG00000001105	ENSG00000109083	ENSG00000109083.9	IFT20	Ift20
ENSMUSG00000001119	ENSG00000142156	ENSG00000142156.10	COL6A1	Col6a1
ENSMUSG00000001120	ENSG00000183570	ENSG00000183570.12	PCBP3	Pcbp3
ENSMUSG00000001123	ENSG00000171916	ENSG00000171916.12	LGALS9C	Lgals9
ENSMUSG00000001123	ENSG00000168961	ENSG00000168961.12	LGALS9	Lgals9
ENSMUSG00000001123	ENSG00000170298	ENSG00000170298.11	LGALS9B	Lgals9
ENSMUSG00000001127	ENSG00000078061	ENSG00000078061.8	ARAF	Araf
ENSMUSG00000001128	ENSG00000126759	ENSG00000126759.8	CFP	Cfp
ENSMUSG00000001131	ENSG00000102265	ENSG00000102265.7	TIMP1	Timp1
ENSMUSG00000001134	ENSG00000126756	ENSG00000126756.7	UXT	Uxt
ENSMUSG00000001138	ENSG00000168763	ENSG00000168763.11	CNNM3	Cnnm3
ENSMUSG00000001143	ENSG00000114988	ENSG00000114988.7	LMAN2L	Lman2l
ENSMUSG00000001150	ENSG00000160294	ENSG00000160294.6	MCM3AP	Mcm3ap
ENSMUSG00000001151	ENSG00000160299	ENSG00000160299.12	PCNT	Pcnt
ENSMUSG00000001155	ENSG00000160282	ENSG00000160282.9	FTCD	Ftcd
ENSMUSG00000001156	ENSG00000059728	ENSG00000059728.6	MXD1	Mxd1
ENSMUSG00000001157	ENSG00000087338	ENSG00000087338.4	GMCL1	Gmcl1
ENSMUSG00000001158	ENSG00000124380	ENSG00000124380.6	SNRNP27	Snrnp27
ENSMUSG00000001166	ENSG00000089127	ENSG00000089127.8	OAS1	Oas1c
ENSMUSG00000001168	ENSG00000089127	ENSG00000089127.8	OAS1	Oas1h
ENSMUSG00000001173	ENSG00000122126	ENSG00000122126.11	OCRL	Ocrl
ENSMUSG00000001175	ENSG00000198668	ENSG00000198668.6	CALM1	Calm1
ENSMUSG00000001211	ENSG00000160216	ENSG00000160216.14	AGPAT3	Agpat3
ENSMUSG00000001225	ENSG00000091138	ENSG00000091138.8	SLC26A3	Slc26a3
ENSMUSG00000001227	ENSG00000167680	ENSG00000167680.11	SEMA6B	Sema6b
ENSMUSG00000001229	ENSG00000142002	ENSG00000142002.12	DPP9	Dpp9
ENSMUSG00000001240	ENSG00000131477	ENSG00000131477.6	RAMP2	Ramp2
ENSMUSG00000001247	ENSG00000105699	ENSG00000105699.12	LSR	Lsr
ENSMUSG00000001248	ENSG00000089351	ENSG00000089351.10	GRAMD1A	Gramd1a
ENSMUSG00000001249	ENSG00000105707	ENSG00000105707.9	HPN	Hpn
ENSMUSG00000001260	ENSG00000163285	ENSG00000163285.7	GABRG1	Gabrg1
ENSMUSG00000001270	ENSG00000166165	ENSG00000166165.8	CKB	Ckb
ENSMUSG00000001280	ENSG00000185591	ENSG00000185591.5	SP1	Sp1
ENSMUSG00000001281	ENSG00000139626	ENSG00000139626.11	ITGB7	Itgb7
ENSMUSG00000001285	ENSG00000139637	ENSG00000139637.9	C12orf10	Myg1
ENSMUSG00000001288	ENSG00000172819	ENSG00000172819.12	RARG	Rarg
ENSMUSG00000001289	ENSG00000123349	ENSG00000123349.9	PFDN5	Pfdn5
ENSMUSG00000001300	ENSG00000125266	ENSG00000125266.6	EFNB2	Efnb2
ENSMUSG00000001305	ENSG00000067533	ENSG00000067533.5	RRP15	Rrp15
ENSMUSG00000001313	ENSG00000108830	ENSG00000108830.7	RND2	Rnd2
ENSMUSG00000001323	ENSG00000167720	ENSG00000167720.8	SRR	Srr
ENSMUSG00000001333	ENSG00000162520	ENSG00000162520.10	SYNC	Sync
ENSMUSG00000001334	ENSG00000160097	ENSG00000160097.11	FNDC5	Fndc5
ENSMUSG00000001348	ENSG00000102575	ENSG00000102575.6	ACP5	Acp5
ENSMUSG00000001349	ENSG00000130176	ENSG00000130176.3	CNN1	Cnn1
ENSMUSG00000001366	ENSG00000112146	ENSG00000112146.12	FBXO9	Fbxo9
ENSMUSG00000001376	ENSG00000004766	ENSG00000004766.11	CCDC132	Ccdc132
ENSMUSG00000001379	ENSG00000113108	ENSG00000113108.13	APBB3	Apbb3
ENSMUSG00000001380	ENSG00000170445	ENSG00000170445.8	HARS	Hars
ENSMUSG00000001383	ENSG00000146007	ENSG00000146007.6	ZMAT2	Zmat2
ENSMUSG00000001403	ENSG00000175063	ENSG00000175063.12	UBE2C	Ube2c
ENSMUSG00000001415	ENSG00000198952	ENSG00000198952.7	SMG5	Smg5
ENSMUSG00000001416	ENSG00000163468	ENSG00000163468.10	CCT3	Cct3
ENSMUSG00000001417	ENSG00000132677	ENSG00000132677.8	RHBG	Rhbg
ENSMUSG00000001418	ENSG00000198715	ENSG00000198715.7	C1orf85	0610031J06Rik
ENSMUSG00000001419	ENSG00000116604	ENSG00000116604.13	MEF2D	Mef2d
ENSMUSG00000001420	ENSG00000163472	ENSG00000163472.14	TMEM79	Tmem79
ENSMUSG00000001424	ENSG00000197157	ENSG00000197157.6	SND1	Snd1
ENSMUSG00000001435	ENSG00000182871	ENSG00000182871.10	COL18A1	Col18a1
ENSMUSG00000001436	ENSG00000173638	ENSG00000173638.14	SLC19A1	Slc19a1
ENSMUSG00000001440	ENSG00000108424	ENSG00000108424.5	KPNB1	Kpnb1
ENSMUSG00000001441	ENSG00000141279	ENSG00000141279.11	NPEPPS	Npepps
ENSMUSG00000001441	ENSG00000174093	ENSG00000174093.6	RP11-1407O15.2	Npepps
ENSMUSG00000001444	ENSG00000073861	ENSG00000073861.2	TBX21	Tbx21
ENSMUSG00000001445	ENSG00000159111	ENSG00000159111.8	MRPL10	Mrpl10
ENSMUSG00000001467	ENSG00000001630	ENSG00000001630.11	CYP51A1	Cyp51
ENSMUSG00000001472	ENSG00000141002	ENSG00000141002.14	TCF25	Tcf25
ENSMUSG00000001473	ENSG00000176014	ENSG00000176014.8	TUBB6	Tubb6
ENSMUSG00000001482	ENSG00000140995	ENSG00000140995.12	DEF8	Def8
ENSMUSG00000001493	ENSG00000005102	ENSG00000005102.8	MEOX1	Meox1
ENSMUSG00000001494	ENSG00000167941	ENSG00000167941.2	SOST	Sost
ENSMUSG00000001496	ENSG00000136352	ENSG00000136352.13	NKX2-1	Nkx2-1
ENSMUSG00000001497	ENSG00000198807	ENSG00000198807.8	PAX9	Pax9
ENSMUSG00000001504	ENSG00000170561	ENSG00000170561.8	IRX2	Irx2
ENSMUSG00000001506	ENSG00000108821	ENSG00000108821.9	COL1A1	Col1a1
ENSMUSG00000001507	ENSG00000005884	ENSG00000005884.13	ITGA3	Itga3
ENSMUSG00000001508	ENSG00000108823	ENSG00000108823.11	SGCA	Sgca
ENSMUSG00000001510	ENSG00000064195	ENSG00000064195.7	DLX3	Dlx3
ENSMUSG00000001517	ENSG00000111206	ENSG00000111206.8	FOXM1	Foxm1
ENSMUSG00000001518	ENSG00000111203	ENSG00000111203.7	ITFG2	Itfg2
ENSMUSG00000001520	ENSG00000053702	ENSG00000053702.10	NRIP2	Nrip2
ENSMUSG00000001521	ENSG00000078246	ENSG00000078246.11	TULP3	Tulp3
ENSMUSG00000001524	ENSG00000213780	ENSG00000213780.6	GTF2H4	Gtf2h4
ENSMUSG00000001525	ENSG00000196230	ENSG00000196230.8	TUBB	Tubb5
ENSMUSG00000001542	ENSG00000118985	ENSG00000118985.10	ELL2	Ell2
ENSMUSG00000001552	ENSG00000173801	ENSG00000173801.12	JUP	Jup
ENSMUSG00000001555	ENSG00000141756	ENSG00000141756.14	FKBP10	Fkbp10
ENSMUSG00000001558	ENSG00000161594	ENSG00000161594.6	KLHL10	Klhl10
ENSMUSG00000001566	ENSG00000130675	ENSG00000130675.10	MNX1	Mnx1
ENSMUSG00000001569	ENSG00000146909	ENSG00000146909.3	NOM1	Nom1
ENSMUSG00000001576	ENSG00000113719	ENSG00000113719.11	ERGIC1	Ergic1
ENSMUSG00000001583	ENSG00000174292	ENSG00000174292.8	TNK1	Tnk1
ENSMUSG00000001588	ENSG00000072818	ENSG00000072818.7	ACAP1	Acap1
ENSMUSG00000001604	ENSG00000204219	ENSG00000204219.5	TCEA3	Tcea3
ENSMUSG00000001622	ENSG00000171209	ENSG00000171209.3	CSN3	Csn3
ENSMUSG00000001627	ENSG00000006652	ENSG00000006652.9	IFRD1	Ifrd1
ENSMUSG00000001630	ENSG00000211455	ENSG00000211455.3	STK38L	Stk38l
ENSMUSG00000001632	ENSG00000156983	ENSG00000156983.11	BRPF1	Brpf1
ENSMUSG00000001642	ENSG00000085662	ENSG00000085662.9	AKR1B1	Akr1b3
ENSMUSG00000001655	ENSG00000123364	ENSG00000123364.3	HOXC13	Hoxc13
ENSMUSG00000001656	ENSG00000123388	ENSG00000123388.4	HOXC11	Hoxc11
ENSMUSG00000001657	ENSG00000037965	ENSG00000037965.4	HOXC8	Hoxc8
ENSMUSG00000001661	ENSG00000197757	ENSG00000197757.7	HOXC6	Hoxc6
ENSMUSG00000001663	ENSG00000184674	ENSG00000184674.8	GSTT1	Gstt1
ENSMUSG00000001666	ENSG00000099974	ENSG00000099974.7	DDTL	Ddt
ENSMUSG00000001666	ENSG00000099977	ENSG00000099977.9	DDT	Ddt
ENSMUSG00000001670	ENSG00000198650	ENSG00000198650.6	TAT	Tat
ENSMUSG00000001672	ENSG00000140832	ENSG00000140832.5	MARVELD3	Marveld3
ENSMUSG00000001674	ENSG00000088205	ENSG00000088205.8	DDX18	Ddx18
ENSMUSG00000001687	ENSG00000122042	ENSG00000122042.9	UBL3	Ubl3
ENSMUSG00000001700	ENSG00000155324	ENSG00000155324.5	GRAMD3	Gramd3
ENSMUSG00000001707	ENSG00000124802	ENSG00000124802.7	EEF1E1	Eef1e1
ENSMUSG00000001729	ENSG00000142208	ENSG00000142208.11	AKT1	Akt1
ENSMUSG00000001739	ENSG00000106404	ENSG00000106404.9	CLDN15	Cldn15
ENSMUSG00000001741	ENSG00000172349	ENSG00000172349.12	IL16	Il16
ENSMUSG00000001750	ENSG00000110719	ENSG00000110719.5	TCIRG1	Tcirg1
ENSMUSG00000001751	ENSG00000108784	ENSG00000108784.5	NAGLU	Naglu
ENSMUSG00000001755	ENSG00000068120	ENSG00000068120.10	COASY	Coasy
ENSMUSG00000001761	ENSG00000128602	ENSG00000128602.5	SMO	Smo
ENSMUSG00000001763	ENSG00000158457	ENSG00000158457.4	TSPAN33	Tspan33
ENSMUSG00000001767	ENSG00000101343	ENSG00000101343.10	CRNKL1	Crnkl1
ENSMUSG00000001768	ENSG00000132669	ENSG00000132669.8	RIN2	Rin2
ENSMUSG00000001773	ENSG00000086205	ENSG00000086205.12	FOLH1	Folh1
ENSMUSG00000001774	ENSG00000110172	ENSG00000110172.7	CHORDC1	Chordc1
ENSMUSG00000001783	ENSG00000100220	ENSG00000100220.7	RTCB	Rtcb
ENSMUSG00000001785	ENSG00000136045	ENSG00000136045.7	PWP1	Pwp1
ENSMUSG00000001786	ENSG00000100225	ENSG00000100225.13	FBXO7	Fbxo7
