Cell type	Notes	STAR mapped file	read counts	Bulk_Single
aNSCs	Steve_quake Striatum scRNAseq	GSM2189506Aligned.out.bam	GSM2189506Aligned.out_counts_genes_mm9.txt	Single
aNSCs	Steve_quake Striatum scRNAseq	GSM2189508Aligned.out.bam	GSM2189508Aligned.out_counts_genes_mm9.txt	Single
aNSCs	Steve_quake Striatum scRNAseq	GSM2189553Aligned.out.bam	GSM2189553Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	P7 Aldh1l1-EGFP transgenic mice of both genders	SRR1033783Aligned.out.bam	SRR1033783Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	P7 Aldh1l1-EGFP transgenic mice of both genders	SRR1033784Aligned.out.bam	SRR1033784Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Female 7months	SRR2961938Aligned.out.bam	SRR2961938Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Female 13months	SRR2961946Aligned.out.bam	SRR2961946Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Female 13months	SRR2961948Aligned.out.bam	SRR2961948Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Female 7months	SRR2961952Aligned.out.bam	SRR2961952Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Female 7months	SRR2961955Aligned.out.bam	SRR2961955Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Female 13months	SRR2961965Aligned.out.bam	SRR2961965Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Female 13months	SRR2961968Aligned.out.bam	SRR2961968Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Male 13months	SRR2961971Aligned.out.bam	SRR2961971Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Female 7months	SRR2961973Aligned.out.bam	SRR2961973Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Female 7months	SRR2961985Aligned.out.bam	SRR2961985Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Astrocytes SVZ, 3m	G_young_CAligned.out.bam	G_young_CAligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Astrocytes SVZ, 3m	G_young_DAligned.out.bam	G_young_DAligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Astrocytes SVZ, 3m	G_young_EAligned.out.bam	G_young_EAligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Astrocytes SVZ, 3m	G_young_FAligned.out.bam	G_young_FAligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Mouse 4 month astro SRR2557110	SRR2557110Aligned.out.bam	SRR2557110Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Mouse 7 month astro SRR2557111	SRR2557111Aligned.out.bam	SRR2557111Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	Mouse 9 month astro SRR2557112	SRR2557112Aligned.out.bam	SRR2557112Aligned.out_counts_genes_mm9.txt	Bulk
Astrocytes	S9 CD133+/GFAP+, ABI SOliD sequencing	SRR1572706Aligned.out.bam	SRR1572706Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	S10 CD133+/GFAP+, ABI SOliD sequencing	SRR1572707Aligned.out.bam	SRR1572707Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188967Aligned.out.bam	GSM2188967Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188968Aligned.out.bam	GSM2188968Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188969Aligned.out.bam	GSM2188969Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188970Aligned.out.bam	GSM2188970Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188971Aligned.out.bam	GSM2188971Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188972Aligned.out.bam	GSM2188972Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188973Aligned.out.bam	GSM2188973Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188974Aligned.out.bam	GSM2188974Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188975Aligned.out.bam	GSM2188975Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188976Aligned.out.bam	GSM2188976Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188978Aligned.out.bam	GSM2188978Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188979Aligned.out.bam	GSM2188979Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188980Aligned.out.bam	GSM2188980Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188981Aligned.out.bam	GSM2188981Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188982Aligned.out.bam	GSM2188982Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188983Aligned.out.bam	GSM2188983Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188984Aligned.out.bam	GSM2188984Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188985Aligned.out.bam	GSM2188985Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188986Aligned.out.bam	GSM2188986Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188987Aligned.out.bam	GSM2188987Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188988Aligned.out.bam	GSM2188988Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188989Aligned.out.bam	GSM2188989Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188990Aligned.out.bam	GSM2188990Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188991Aligned.out.bam	GSM2188991Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188992Aligned.out.bam	GSM2188992Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188993Aligned.out.bam	GSM2188993Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188994Aligned.out.bam	GSM2188994Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188995Aligned.out.bam	GSM2188995Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188996Aligned.out.bam	GSM2188996Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188997Aligned.out.bam	GSM2188997Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188998Aligned.out.bam	GSM2188998Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2188999Aligned.out.bam	GSM2188999Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189000Aligned.out.bam	GSM2189000Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189001Aligned.out.bam	GSM2189001Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189002Aligned.out.bam	GSM2189002Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189003Aligned.out.bam	GSM2189003Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189004Aligned.out.bam	GSM2189004Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189005Aligned.out.bam	GSM2189005Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189030Aligned.out.bam	GSM2189030Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189032Aligned.out.bam	GSM2189032Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189033Aligned.out.bam	GSM2189033Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189034Aligned.out.bam	GSM2189034Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189035Aligned.out.bam	GSM2189035Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189036Aligned.out.bam	GSM2189036Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189037Aligned.out.bam	GSM2189037Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189038Aligned.out.bam	GSM2189038Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189089Aligned.out.bam	GSM2189089Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189090Aligned.out.bam	GSM2189090Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189091Aligned.out.bam	GSM2189091Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189316Aligned.out.bam	GSM2189316Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189338Aligned.out.bam	GSM2189338Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189347Aligned.out.bam	GSM2189347Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189354Aligned.out.bam	GSM2189354Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189355Aligned.out.bam	GSM2189355Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189356Aligned.out.bam	GSM2189356Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189357Aligned.out.bam	GSM2189357Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189358Aligned.out.bam	GSM2189358Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189359Aligned.out.bam	GSM2189359Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189374Aligned.out.bam	GSM2189374Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189375Aligned.out.bam	GSM2189375Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189376Aligned.out.bam	GSM2189376Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189377Aligned.out.bam	GSM2189377Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189378Aligned.out.bam	GSM2189378Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189379Aligned.out.bam	GSM2189379Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189412Aligned.out.bam	GSM2189412Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189413Aligned.out.bam	GSM2189413Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189414Aligned.out.bam	GSM2189414Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189415Aligned.out.bam	GSM2189415Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189417Aligned.out.bam	GSM2189417Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189419Aligned.out.bam	GSM2189419Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189420Aligned.out.bam	GSM2189420Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189437Aligned.out.bam	GSM2189437Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189438Aligned.out.bam	GSM2189438Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189439Aligned.out.bam	GSM2189439Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189440Aligned.out.bam	GSM2189440Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189441Aligned.out.bam	GSM2189441Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189442Aligned.out.bam	GSM2189442Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189443Aligned.out.bam	GSM2189443Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189444Aligned.out.bam	GSM2189444Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189445Aligned.out.bam	GSM2189445Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189446Aligned.out.bam	GSM2189446Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189447Aligned.out.bam	GSM2189447Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189448Aligned.out.bam	GSM2189448Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189449Aligned.out.bam	GSM2189449Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189450Aligned.out.bam	GSM2189450Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189459Aligned.out.bam	GSM2189459Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189460Aligned.out.bam	GSM2189460Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189461Aligned.out.bam	GSM2189461Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189462Aligned.out.bam	GSM2189462Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189463Aligned.out.bam	GSM2189463Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189472Aligned.out.bam	GSM2189472Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189507Aligned.out.bam	GSM2189507Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189513Aligned.out.bam	GSM2189513Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189533Aligned.out.bam	GSM2189533Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189540Aligned.out.bam	GSM2189540Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189542Aligned.out.bam	GSM2189542Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189544Aligned.out.bam	GSM2189544Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189545Aligned.out.bam	GSM2189545Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189560Aligned.out.bam	GSM2189560Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189577Aligned.out.bam	GSM2189577Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189578Aligned.out.bam	GSM2189578Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189584Aligned.out.bam	GSM2189584Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189585Aligned.out.bam	GSM2189585Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189595Aligned.out.bam	GSM2189595Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189596Aligned.out.bam	GSM2189596Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189598Aligned.out.bam	GSM2189598Aligned.out_counts_genes_mm9.txt	Single
Astrocytes	Steve_quake Striatum scRNAseq	GSM2189599Aligned.out.bam	GSM2189599Aligned.out_counts_genes_mm9.txt	Single
B_cells	C57BL/6,12 to 15 weeks-old mice, 3' RNA-seq	SRR1536411Aligned.out.bam	SRR1536411Aligned.out_counts_genes_mm9.txt	Bulk
B_cells	C57BL/6,12 to 15 weeks-old mice, 3' RNA-seq	SRR1536412Aligned.out.bam	SRR1536412Aligned.out_counts_genes_mm9.txt	Bulk
B_cells	ImmGen RNAseq, B1ab_cells	SRR1976588Aligned.out.bam	SRR1976588Aligned.out_counts_genes_mm9.txt	Bulk
B_cells	ImmGen RNAseq, CD19+_B_cell	SRR1976593Aligned.out.bam	SRR1976593Aligned.out_counts_genes_mm9.txt	Bulk
B_cells	C57BL/6, Ex vivo, Follicular_B_cells	SRR1561641Aligned.out.bam	SRR1561641Aligned.out_counts_genes_mm9.txt	Bulk
B_cells	C57BL/6, Ex vivo, Follicular_B_cells	SRR1561642Aligned.out.bam	SRR1561642Aligned.out_counts_genes_mm9.txt	Bulk
B_cells	C57BL/6, Ex vivo, Germinal_center_B_cells	SRR1561646Aligned.out.bam	SRR1561646Aligned.out_counts_genes_mm9.txt	Bulk
B_cells	C57BL/6, Ex vivo, Germinal_center_B_cells	SRR1561647Aligned.out.bam	SRR1561647Aligned.out_counts_genes_mm9.txt	Bulk
B_cells	C57BL/6, Ex vivo, Germinal_center_B_cells	SRR1561648Aligned.out.bam	SRR1561648Aligned.out_counts_genes_mm9.txt	Bulk
B_cells	B Cell_C57BL/6J__4 to 6 (week)_lymphocyte of B lineage_B220+, IgM+, CD3-, CD4-, CD8-, Ter119-, Gr1-, Mac1-__      	ERR674979Aligned.out.bam	ERR674979Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233039Aligned.out.bam	SRR1233039Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233040Aligned.out.bam	SRR1233040Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233041Aligned.out.bam	SRR1233041Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233042Aligned.out.bam	SRR1233042Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233043Aligned.out.bam	SRR1233043Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233044Aligned.out.bam	SRR1233044Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233045Aligned.out.bam	SRR1233045Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233046Aligned.out.bam	SRR1233046Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233047Aligned.out.bam	SRR1233047Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233048Aligned.out.bam	SRR1233048Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233049Aligned.out.bam	SRR1233049Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233050Aligned.out.bam	SRR1233050Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233051Aligned.out.bam	SRR1233051Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233052Aligned.out.bam	SRR1233052Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233053Aligned.out.bam	SRR1233053Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233054Aligned.out.bam	SRR1233054Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233055Aligned.out.bam	SRR1233055Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233056Aligned.out.bam	SRR1233056Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	CD-1, Cardiomyocyte E 14.5 	SRR1233057Aligned.out.bam	SRR1233057Aligned.out_counts_genes_mm9.txt	Single
Cardiomyocytes	FVB/NJ, 12 weeks,female,tissue: heart	SRR1390711Aligned.out.bam	SRR1390711Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	FVB/NJ, 12 weeks,female,tissue: heart	SRR1390712Aligned.out.bam	SRR1390712Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	FVB/NJ, 12 weeks,female,tissue: heart	SRR1390713Aligned.out.bam	SRR1390713Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	isolated adult mouse ventricular cardiomyocytes, CM_1	SRR2006897Aligned.out.bam	SRR2006897Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	isolated adult mouse ventricular cardiomyocytes, CM_1	SRR2006898Aligned.out.bam	SRR2006898Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	isolated adult mouse ventricular cardiomyocytes, CM_2	SRR2006899Aligned.out.bam	SRR2006899Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	isolated adult mouse ventricular cardiomyocytes, CM_2	SRR2006900Aligned.out.bam	SRR2006900Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	isolated adult mouse ventricular cardiomyocytes, CM_3	SRR2006901Aligned.out.bam	SRR2006901Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	isolated adult mouse ventricular cardiomyocytes, CM_3	SRR2006902Aligned.out.bam	SRR2006902Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	PN67, adult	SRR964799Aligned.out.bam	SRR964799Aligned.out_counts_genes_mm9.txt	Bulk
Cardiomyocytes	PN30	SRR964800Aligned.out.bam	SRR964800Aligned.out_counts_genes_mm9.txt	Bulk
